class name: scp 	 label: 0 	 no. packet: 7000
class name: skype 	 label: 1 	 no. packet: 7000
class name: sftp 	 label: 2 	 no. packet: 7000
class name: aimchat 	 label: 3 	 no. packet: 7000
class name: facebook 	 label: 4 	 no. packet: 7000
class name: ftps 	 label: 5 	 no. packet: 7000
class name: netflix 	 label: 6 	 no. packet: 7000
class name: icq 	 label: 7 	 no. packet: 7000
class name: hangouts 	 label: 8 	 no. packet: 7000
class name: spotify 	 label: 9 	 no. packet: 7000
class name: gmail 	 label: 10 	 no. packet: 7000
class name: voipbuster 	 label: 11 	 no. packet: 7000
class name: bittorrent 	 label: 12 	 no. packet: 7000
class name: youtube 	 label: 13 	 no. packet: 7000
class name: email 	 label: 14 	 no. packet: 7000
class name: vimeo 	 label: 15 	 no. packet: 7000
Initial val. accuracy on unseen test data (not validation dataset): 96.2768%
Random Seed: 2024
-------------------- Start searching for the pruning and quantization policies ----------------------------------------
Saving state_dict checkpoint with masks for finetuning at networks/quantized_models/iscx2016vpn/CNN1D_TrafficClassification_iscx2016vpn.pt
Saving best model in onnx at networks/quantized_models/iscx2016vpn/model.onnx
Best accuracy is 27.27% with FLOPs reduction of 71.377277% from baseline model
Episode 1 	 Avg length: 0 	 Avg reward: 27 	 Elapsed time 6.345
Episode 2 	 Avg length: 0 	 Avg reward: 17 	 Elapsed time 5.441
Episode 3 	 Avg length: 0 	 Avg reward: 8 	 Elapsed time 5.442
Episode 4 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.403
Episode 5 	 Avg length: 0 	 Avg reward: 8 	 Elapsed time 5.451
Episode 6 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.430
Episode 7 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.438
Episode 8 	 Avg length: 0 	 Avg reward: 4 	 Elapsed time 5.388
Episode 9 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.469
Episode 10 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.444
Episode 11 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.396
Episode 12 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.463
Episode 13 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.456
Episode 14 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.446
Episode 15 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.402
Episode 16 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.414
Episode 17 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.425
Episode 18 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.384
Episode 19 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.324
Episode 20 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.423
Episode 21 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.389
Episode 22 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.345
Episode 23 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.492
Episode 24 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.334
Episode 25 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.419
Episode 26 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.506
Episode 27 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.451
Episode 28 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.351
Episode 29 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.449
Episode 30 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.459
Episode 31 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.511
Episode 32 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.573
Episode 33 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.477
Episode 34 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.724
Episode 35 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.655
Episode 36 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.676
Episode 37 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.667
Episode 38 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.697
Episode 39 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.593
Episode 40 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.698
Episode 41 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.695
Episode 42 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.610
Episode 43 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.714
Episode 44 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.683
Episode 45 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.556
Episode 46 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.475
Episode 47 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.569
Episode 48 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.568
Episode 49 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.521
-*-*-*-*-*-*-*-*-*-* start training the RL agent -*-*-*-*-*-*-*-*-*-*
Epoches 0 	 loss: 0.34788307547569275 	 
Epoches 5 	 loss: 0.34788307547569275 	 
-*-*-*-*-*-*-*-*-*-* start search the pruning policies -*-*-*-*-*-*-*-*-*-*
Episode 50 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.757
Episode 51 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.631
Episode 52 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.682
Episode 53 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.602
Episode 54 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.700
Episode 55 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.738
Episode 56 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.724
Episode 57 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.704
Episode 58 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.820
Episode 59 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.823
Episode 60 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.786
Episode 61 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.710
Episode 62 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.767
Episode 63 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.794
Episode 64 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.742
Episode 65 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.695
Episode 66 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.530
Episode 67 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.498
Episode 68 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.409
Episode 69 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.417
